Entity,Code,Year,Solar per capita (kWh)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.045
Africa,,2001,0.054
Africa,,2002,0.063
Africa,,2003,0.072
Africa,,2004,0.083
Africa,,2005,0.095
Africa,,2006,0.116
Africa,,2007,0.147
Africa,,2008,0.201
Africa,,2009,0.254
Africa,,2010,0.536
Africa,,2011,1.1
Africa,,2012,1.297
Africa,,2013,1.879
Africa,,2014,4.044
Africa,,2015,7.693
Africa,,2016,10.24
Africa,,2017,14.033
Africa,,2018,19.187
Africa,,2019,36.683
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.66
Algeria,DZA,2011,1.281
Algeria,DZA,2012,1.841
Algeria,DZA,2013,1.92
Algeria,DZA,2014,3.923
Algeria,DZA,2015,3.693
Algeria,DZA,2016,15.194
Algeria,DZA,2017,30.443
Algeria,DZA,2018,35.49
Algeria,DZA,2019,35.372
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.001
Argentina,ARG,1999,0.002
Argentina,ARG,2000,0.003
Argentina,ARG,2001,0.003
Argentina,ARG,2002,0.003
Argentina,ARG,2003,0.005
Argentina,ARG,2004,0.005
Argentina,ARG,2005,0.006
Argentina,ARG,2006,0.006
Argentina,ARG,2007,0.007
Argentina,ARG,2008,0.009
Argentina,ARG,2009,0.005
Argentina,ARG,2010,0.005
Argentina,ARG,2011,0.101
Argentina,ARG,2012,0.504
Argentina,ARG,2013,0.915
Argentina,ARG,2014,0.952
Argentina,ARG,2015,0.862
Argentina,ARG,2016,0.825
Argentina,ARG,2017,0.934
Argentina,ARG,2018,6.058
Argentina,ARG,2019,44.22
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0.881
Australia,AUS,1992,1.931
Australia,AUS,1993,2.304
Australia,AUS,1994,2.716
Australia,AUS,1995,3.265
Australia,AUS,1996,3.91
Australia,AUS,1997,4.63
Australia,AUS,1998,5.32
Australia,AUS,1999,6.003
Australia,AUS,2000,6.838
Australia,AUS,2001,7.785
Australia,AUS,2002,8.24
Australia,AUS,2003,8.774
Australia,AUS,2004,9.933
Australia,AUS,2005,11.204
Australia,AUS,2006,12.697
Australia,AUS,2007,14.446
Australia,AUS,2008,17.225
Australia,AUS,2009,35.007
Australia,AUS,2010,115.057
Australia,AUS,2011,235.086
Australia,AUS,2012,271.251
Australia,AUS,2013,423.577
Australia,AUS,2014,534.091
Australia,AUS,2015,656.064
Australia,AUS,2016,774.744
Australia,AUS,2017,910.864
Australia,AUS,2018,1225.746
Australia,AUS,2019,1763.675
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0.352
Austria,AUT,1994,0.35
Austria,AUT,1995,0.348
Austria,AUT,1996,0.346
Austria,AUT,1997,0.692
Austria,AUT,1998,0.691
Austria,AUT,1999,0.69
Austria,AUT,2000,1.033
Austria,AUT,2001,1.704
Austria,AUT,2002,3.034
Austria,AUT,2003,4.998
Austria,AUT,2004,5.93
Austria,AUT,2005,6.85
Austria,AUT,2006,7.223
Austria,AUT,2007,7.744
Austria,AUT,2008,9.531
Austria,AUT,2009,15.326
Austria,AUT,2010,27.535
Austria,AUT,2011,53.359
Austria,AUT,2012,102.244
Austria,AUT,2013,187.312
Austria,AUT,2014,231.965
Austria,AUT,2015,273.146
Austria,AUT,2016,315.109
Austria,AUT,2017,359.686
Austria,AUT,2018,401.877
