name,state,postcode,size_kw,accreditation_date,latitude,longitude,aemo_registered,aemo_duid,aemo_registration_type,url
Ausgrid Muswellbrook ,NSW,2009,199.9,2019-07-22,-33.868393,151.193787,No,,N/A,
BUPA Templestowe,VIC,3020,199.0,2018-04-17,-37.8094781,144.8186237,No,,N/A,
Faulding Street Solar,ACT,2609,347.6,2016-09-28,-35.335175,149.168021,No,,N/A,
Beverage Drive,VIC,3043,146.6,2019-07-31,-37.718861,144.863592,No,,N/A,
Merredin Solar,WA,6415,131965.1,2020-06-01,-31.54309,118.222469,Yes,,WA-registered,
Chichester Solar Farm,WA,6753,71141.7,2021-05-28,-22.42450025,119.7229189,Yes,,WA-registered,https://www.alintaenergy.com.au/nsw/about-alinta-energy/power-generation/chichester-project/
AJ Australia,QLD,4118,202.8,2018-01-25,-27.659917,153.031881,No,,N/A,
Greenough River Solar Farm,WA,6630,49730.4,2012-08-13,-28.904552,115.111774,Yes,,WA-registered,
Emu Downs Solar Farm,WA,6521,25550.0,2006-07-21,-30.485405,115.415839,No,,N/A,
Badgingarra Solar Farm,WA,6521,21180.0,2019-01-17,-30.14365,115.291756,Yes,,WA-registered,
Northam Solar Farm,WA,6401,11424.0,2019-02-27,-31.654575,116.720109,Yes,,WA-registered,
DeGrussa,WA,6642,10560.0,2016-04-09,-25.392419,119.296417,No,,N/A,
Granny Smith Mine 1,WA,6440,7718.4,2019-11-29,-28.809376,122.414141,No,,N/A,
Nova Nickel Solar,WA,6443,6096.7,2020-07-06,-31.823215,123.190959,No,,N/A,
Agnew Solar Project,WA,6437,3962.7,2019-08-25,-27.977986,120.49403,No,,N/A,https://edlenergy.com/project/agnew/
Sunrise Asset Holdings Boonanarring,WA,6503,3030.2,2020-09-21,-31.187916,115.822179,No,,N/A,
Karratha City EPC,WA,6714,2300.9,2021-02-09,-20.735286,116.846134,No,,N/A,
ADSCS GERALDTON,WA,6532,1560.0,2020-01-20,-28.689236,114.843203,No,,N/A,
Ace Gutters Solar Mortdale,NSW,2223,225.0,2014-01-24,-33.965362,151.068871,No,,N/A,
Actron Air Marsden Park,NSW,2765,389.8,2020-02-05,-33.720218,150.836757,No,,N/A,
Adelaide Airport Terminal 1 Stage 1,SA,5950,114.0,2010-01-19,-34.946704,138.532555,No,,N/A,https://onestepoffthegrid.com.au/adelaide-airport-completes-1-17mw-rooftop-solar-install-south-australias-largest/
Adelaide Airport Terminal 1 Stage 3,SA,5950,168.0,2016-07-14,-34.946704,138.532555,No,,N/A,https://onestepoffthegrid.com.au/adelaide-airport-completes-1-17mw-rooftop-solar-install-south-australias-largest/
Adelaide Airport Terminal 1 Stage 2,SA,5950,1000.0,2010-01-19,-34.946704,138.532555,No,,N/A,
Adelaide Desalination Plant,SA,5160,220.0,2018-10-10,-35.096984,138.484029,No,,N/A,
Adelaide Resource Recovery Dry Creek,SA,5094,1300.7,2020-01-10,-34.827205,138.553288,No,,N/A,https://www.escosa.sa.gov.au/projects-and-publications/projects/electricity/electricity-generation-licence-application-adelaide-resource-recovery
Adelaide Showground Solar,SA,5034,1000.0,2009-10-30,-34.945174,138.586476,No,,N/A,
Adelaide Zoo Solar System,SA,5000,150.8,2017-01-20,-34.913407,138.60743,No,,N/A,
Adina Apartment Hotel,NT,0800,243.5,2019-02-13,-12.466466,130.846758,No,,N/A,
Ellenbrook Central,WA,6069,1138.5,2019-08-23,-31.78265,115.969303,No,,N/A,
Onslow Solar Farm,WA,6710,1117.7,2020-02-10,-21.775425,115.083284,No,,N/A,
Scentre Group Cannington,WA,6107,1071.9,2018-09-03,-31.79246,115.963257,No,,N/A,
Ambrisolar PV 1,WA,6415,1028.2,2018-10-11,-31.555271,118.366909,No,,N/A,
MSUII,WA,6434,1014.4,2020-07-06,-30.827946,125.559523,No,,N/A,
Livingston Marketplace,WA,6155,1004.7,2019-11-08,-32.085397,115.917263,No,,N/A,
Karratha Solar Power,WA,6714,1000.0,2016-08-30,-20.710679,116.772651,No,,N/A,
Aeroten Leongatha,VIC,3953,199.6,2017-11-27,-38.474819,145.953275,No,,N/A,
PGWFWind and Solar,WA,6535,1000.0,2020-03-05,-28.14552,114.256617,No,,N/A,
Cockburn ARC Solar,WA,6164,901.0,2019-01-24,-32.125216,115.850768,No,,N/A,
Ahrens Group Pty Ltd,SA,5118,292.9,2018-04-12,-34.557011,138.7618494,No,,N/A,
Ahrens Group,VIC,3414,159.5,2018-03-09,-36.220704,142.107226,No,,N/A,
Airly Mine,NSW,2846,2000.0,2020-04-02,-33.113783,150.005536,No,,N/A,
AIT Gunnedah,NSW,3505,504.0,2018-04-03,-34.183512,141.6183367,No,,N/A,
Akubra Hats Kempsey,NSW,2440,200.6,2019-11-13,-31.098944,152.821817,No,,N/A,
Albert park Motor Inn,QLD,4730,140.0,2020-07-23,-23.441822,144.267736,No,,N/A,
Albury LFG Stage 3,NSW,2641,487.2,2013-12-09,-36.074318,146.915511,No,,N/A,
Albury LFG Stage 1,NSW,2641,1100.0,2013-12-09,-36.074318,146.915511,No,,N/A,
Albury LFG Stage 2,NSW,2641,1100.0,2013-12-09,-36.074318,146.915511,No,,N/A,
Aldi Brendale,QLD,4500,931.0,2017-11-27,-27.314861,152.974756,No,,N/A,
Aldi Dandenong,VIC,3175,1499.7,2019-11-12,-37.984439,145.215357,No,,N/A,
Aldi Derrimut,VIC,3026,1400.2,2020-03-10,-37.80317,144.776824,No,,N/A,
Aldi Prestons,NSW,2170,1490.5,2018-06-18,-33.9368845,150.8722937,No,,N/A,
Aldi Regency Park,SA,5010,650.0,2019-09-16,-34.85221,138.575555,No,,N/A,
Aldi Stapylton,QLD,4207,1698.3,2019-10-17,-27.749512,153.238986,No,,N/A,
Alepat Taylor Preston,VIC,3072,384.4,2019-01-15,-37.746178,145.022393,No,,N/A,
Alexandra Hills Shopping Centre,QLD,4161,511.8,2018-06-01,-27.5239603,153.2207836,No,,N/A,
Alice Plaza,NT,0870,324.8,2018-01-29,-23.697858,133.883376,No,,N/A,
Alice Springs Airport Carpark Stage 1,NT,0870,323.0,2014-11-21,-23.803348,133.901772,No,,N/A,
Alice Springs Airport Carpark Stage 2,NT,0870,328.0,2015-12-31,-23.803348,133.901772,No,,N/A,
Alice Springs Airport Solar,NT,0870,235.0,2011-12-21,-23.803268,133.901446,No,,N/A,
Alice Springs Aquatic and Leisure Centre,NT,0870,277.0,2018-09-21,-23.711574,133.873869,No,,N/A,
Allambi Nursing Home,SA,5044,329.6,2020-01-07,-34.99588,138.531115,No,,N/A,
AllityCharles Young ,SA,5043,190.2,2019-09-18,-34.98363,138.54561,No,,N/A,
Almax Bayswater North,VIC,3153,274.0,2019-07-26,-37.824621,145.28079,No,,N/A,
Alpurrurulam Solar,NT,4825,265.0,2012-10-27,-20.901117,137.824023,No,,N/A,
Altimate Foods Campbellfield,VIC,3061,239.5,2019-06-21,-37.651979,144.941764,No,,N/A,
Altona Salt Reduction Plant,VIC,3018,177.3,2019-12-02,-37.873064,144.79241,No,,N/A,
Amaroo Solar,ACT,2914,600.0,2015-12-23,-35.164371,149.128589,No,,N/A,
AMASYA,VIC,3062,727.0,2020-02-27,-37.63251,144.951092,No,,N/A,
CocaCola Amatil Pty Ltd,WA,6105,692.5,2019-11-22,-31.98156,115.950951,No,,N/A,
CCGS,WA,6010,669.4,2018-12-13,-31.985602,115.777974,No,,N/A,
Amstel Club Cranbourne,VIC,3977,160.8,2020-03-19,-38.111116,145.258094,No,,N/A,
Andpak,VIC,3498,269.8,2020-04-01,-34.237147,142.166792,No,,N/A,
Angelo Anestis Aquatic Centre,NSW,2207,225.9,2020-11-19,-33.947194,151.114749,No,,N/A,
Annandale Stadium,QLD,4814,348.0,2012-06-20,-19.309101,146.801292,No,,N/A,http://www.townsvillesolarcity.com.au/Overview(2007-2012)/TownsvilleRSLStadiumIconicSolar/tabid/155/Default.aspx
Melbourne Airport,VIC,3428,12219.4,2020-12-03,-37.641176,144.831567,No,,N/A,
Apatula Finke Solar Power Station,NT,0872,102.1,2018-12-12,-25.582041,134.578401,No,,N/A,
Aquapulse Solar,VIC,3029,224.9,2018-01-04,-37.88265,144.682374,No,,N/A,
Areyonga Solar Power Station,NT,0872,100.2,2018-02-01,-24.081062,132.272639,No,,N/A,
Arlparra Solar Power Station,NT,0872,453.0,2018-02-01,-22.089176,134.77224,No,,N/A,
Armstrong Flooring,VIC,3195,301.0,2019-11-20,-37.992607,145.112243,No,,N/A,
ARYZTA Dandenong,VIC,3175,337.4,2019-12-17,-38.036978,145.233015,No,,N/A,
Ashfield Aquatic Centre,NSW,2132,250.0,2020-12-14,-33.88432,151.119516,No,,N/A,
Ashmore Depot,QLD,4214,315.4,2019-08-08,-27.986892,153.381682,No,,N/A,
Asian United Food Service Stage 1,NT,0820,399.3,2016-05-10,-12.431537,130.857102,No,,N/A,
Asian United Food Services Stage 2,NT,0820,329.8,2020-03-04,-12.431537,130.857102,No,,N/A,
Aspley Homemaker City,QLD,4034,500.8,2020-03-06,-27.354727,153.017538,No,,N/A,
Atitjere Harts Range Solar Power Station,NT,0872,230.1,2018-12-04,-22.984371,134.934256,No,,N/A,
AUS ZOO Steve Irwin Way Beerwah,QLD,4519,638.6,2020-03-31,-26.838808,152.960939,No,,N/A,
Ausgrid Dee Why Cromer,NSW,2099,128.7,2019-02-20,-33.777048,151.120262,No,,N/A,
Sundown Furniture Derrimut,NSW,2333,199.9,2019-02-27,-32.294921,150.875031,No,,N/A,
Ausgrid Oatley,NSW,2223,327.3,2019-07-12,-33.314376,115.720686,No,,N/A,
Ausgrid Ourimbah,NSW,2258,209.2,2019-04-29,-33.348194,151.368469,No,,N/A,
