Country,Code,Year,renewable_percentage,gdp_per_capita
Argentina,ARG,2020,24.79572168,19686.52366
Australia,AUS,2020,24.86735292,48697.83703
Austria,AUT,2020,79.26764044,51935.60386
Azerbaijan,AZE,2020,7.307339641,13699.66559
Bangladesh,BGD,2020,1.397396679,4818.094737
Belarus,BLR,2020,2.892738378,19148.1751
Bolivia,BOL,2020,37.14999322,7931.754309
Bosnia and Herzegovina,BIH,2020,32.29012111,14339.83118
Brazil,BRA,2020,84.23127338,14063.98251
Bulgaria,BGR,2020,18.59108165,22383.80554
Canada,CAN,2020,68.51970362,45856.62563
Chile,CHL,2020,48.65207898,23324.52475
China,CHN,2020,29.02187686,16410.7978
Colombia,COL,2020,68.57975864,13441.49295
Costa Rica,CRI,2020,99.84143322,19679.28864
Croatia,HRV,2020,64.07052395,26465.12731
Cyprus,CYP,2020,11.18648196,37655.18035
Czechia,CZE,2020,12.09008481,38319.33766
Denmark,DNK,2020,78.20888131,55938.21281
Estonia,EST,2020,35.21072186,35638.42135
Finland,FIN,2020,49.93630134,47260.80046
France,FRA,2020,23.32464882,42025.61737
Germany,DEU,2020,44.89687996,50922.35802
Greece,GRC,2020,35.90825259,27287.0834
Hungary,HUN,2020,14.65189351,31007.76841
India,IND,2020,22.22421772,6118.35733
Iran,IRN,2020,6.731863236,12433.29698
Ireland,IRL,2020,40.73968244,89688.95696
Italy,ITA,2020,43.16692884,38992.14838
Kazakhstan,KAZ,2020,11.02814355,25337.1524
Latvia,LVA,2020,61.11292505,29932.49391
Lithuania,LTU,2020,57.53801145,36732.03474
Luxembourg,LUX,2020,71.52851872,110261.1574
Malta,MLT,2020,10.12124434,39222.14335
Mexico,MEX,2020,21.03479228,17887.75074
Mongolia,MNG,2020,7.696443694,11470.67383
Netherlands,NLD,2020,25.21376743,54209.56384
New Zealand,NZL,2020,81.12390946,42404.39374
Nigeria,NGA,2020,18.96806314,4916.721381
Norway,NOR,2020,98.78692822,63585.90351
Pakistan,PAK,2020,37.25813602,4622.770769
Peru,PER,2020,64.72563239,11260.84575
Philippines,PHL,2020,21.85763372,7953.581644
Poland,POL,2020,16.91160163,32238.15726
Portugal,PRT,2020,58.82566474,32181.15454
Romania,ROU,2020,43.87476099,28832.62315
Russia,RUS,2020,21.09503672,26456.38794
Serbia,SRB,2020,30.00816254,18210.00462
Singapore,SGP,2020,3.306309887,93397.0488
Slovakia,SVK,2020,25.9842846,30330.04289
Slovenia,SVN,2020,33.29207083,36547.73896
South Africa,ZAF,2020,6.24835733,11466.18967
South Korea,KOR,2020,5.660083834,42251.44506
Spain,ESP,2020,43.46242557,36215.44759
Sweden,SWE,2020,67.62177305,50683.32351
Switzerland,CHE,2020,65.13183134,68393.306
Tajikistan,TJK,2020,92.88361384,3657.573507
Thailand,THA,2020,17.99676678,17286.86661
Tunisia,TUN,2020,3.801764291,9727.504259
Turkey,TUR,2020,43.11183898,28384.98778
Ukraine,UKR,2020,9.981577006,12377.01729
United Kingdom,GBR,2020,42.29558959,41627.12927
United States,USA,2020,20.44369768,60235.72849
Uruguay,URY,2020,94.06027399,21608.43027
Vietnam,VNM,2020,30.98625305,8200.331867
World,OWID_WRL,2020,28.98463451,16194.04031
