,target,source,value
0,NSW,Black coal,80.98177819845684
1,NSW,Gas,2.389118901244536
2,NSW,Hydro,3.075325721016388
3,NSW,Liquid Fuel,0.0
4,NSW,Solar,4.159399449062456
5,NSW,Wind,9.394377730219771
6,QLD,Battery,0.0010801181412806386
7,QLD,Biomass,0.9939506994886969
8,QLD,Black coal,79.16128076528432
9,QLD,Gas,8.793774327554488
10,QLD,Hydro,1.6233192470466018
11,QLD,Liquid Fuel,0.2622898179175681
12,QLD,Solar,5.333012337065592
13,QLD,Wind,3.8312926875014734
14,SA,Battery,0.7975859824764052
15,SA,Gas,44.772863134423424
16,SA,Liquid Fuel,0.153240140766166
17,SA,Solar,3.8022342268767315
18,SA,Wind,50.47407651545728
19,TAS,Gas,0.17713594525916646
20,TAS,Hydro,85.75338990011751
21,TAS,Wind,14.069474154623313
22,VIC,Battery,0.051357820707265196
23,VIC,Brown coal,67.9675840277042
24,VIC,Gas,3.7215243035679912
25,VIC,Hydro,5.936906891174636
26,VIC,Solar,2.1647710150059467
27,VIC,Wind,20.157855941839966
